Id,Text,Trinary,Source
46,oh my god . i was there & i just about died when he did that .,0,
47,"""i eman 1st best 1 the 3rd 1, 2nd best is the 1st 1, 3rd best is the last 1.""",1,
48,@quartermasternick ,0,
49,"""jimmy carr mkes me happy, ill go and watch that now... u failed""",-1,
50,i was able to get airpwn working. you really need three wirless card to be efficitve,0,
51,lol,1,
52,omg how old is the youngest one?shes really good at guitar :Dgreat job :D,1,
53,@thetruthis9 then he fired jimmy johnson!,-1,
54,fantastic quality thanks so much,1,
55,Beautiful BBw women for dating naneedj.info,1,
56,"""not specifically for gentiles Quran's message is for all human being, we should avoid using this jewish term gentile. Wasalam""",0,
57,"""A little gain,.""",0,
58,"""This is really cool, I hope you publish the book, I'd love to read it. If you don't mind, could you tell me what the name of the very first song is. Please and thank-you.5 stars btw""",1,
59,"""Listen, fuck off. Just because you have something that is """"yorkshire"""" does not mean you have to put t' in front of random fucking words in your desription. Yes we do it but not as fucking much as that. Do you do the subtitles for coronation street? Because apparently lancastrians do it all the time aswell""",-1,
60,@bullawaya I never said anything about a one time experience or calvin or spurgeon.,0,
61,sucked so bad,-1,
62,hella dope!,-1,
63,Yes be an American Scholar.. lol!!!,1,
64,Even in 8 bit this music rocks.,0,
65,It's not that hard.,0,
66,"""That would be the same scientists who falssified and withheld evidence that contradicted their global warming theory, yes? """,-1,
67,watever kid u dont know wat the fuk ur talking about ur stupid y would u say that if ur username is Osiris ,-1,
68,"""@Albeider Well, this was made a while back, so rules might have been different.""",0,
69,NOW THAT'S AN OPENING TO A VIDEO.,0,
70,MY FAVORITE MYRTHA DOES IT AGAIN.,1,
71,superba ....,0,
72,i miss my 09 xb :(((((((,-1,
73,Love this scene. F&F are the best couple.,1,
74,............,0,
75,Instant Classic. Boon where are you playing all your synths from?,1,
76,Tears in my eyes! I wish they would've talked at least a little about Secretariat's relationship with Eddie Sweat- his indespensible groom! I seriously cannot wait for the movie to come out this fall!!,-1,
77,"""REPITITION: CHANGE CHANGE CHANGE CHANGE """"YES WE CAN"""" YES WE CAN YES WE CAN LMBO. They're all the same and yes THAT IS TRUE but I have to say the end is near I've never seen as many people mind controlled as with who the NWO just put in power SMART MOVE ON THEIR PART STUPID PEOPLE TO THINK HE IS DIFF. THEN BUSH THEY WORK FOR THE SAME PPL.""",-1,
78,you would get raped by cross fire.,-1,
79,lmfao 9PRELUDE.,0,
80,1:41 I KNOW THAT GUY WHO'S POINTING! O-e,0,
81,you ave been to bradford and to westbury so when are u gonna do trowbridge lol,1,
82,if you wanna help go to thedenanproject.,0,
83,I cant believe anyone would thumbs up Hernje on anything.,0,
84,I know right!!Workout music!!! I <3 Kandi!!,1,
85,so do you think black holes definately don't exist or do you think they may or may not exist?,0,
86,"""If you like this, check out Quantic.""",1,
87,haha no bigge and hmm im on a mac so just try to expian it the best you can k,1,
88,1st to veiw,0,
89,PEACE !,0,
90,Thanks. :),1,
91,"""love the tennis match ,, great video ty""",1,
92,"""This is a song that was a signature song for Average White Band that hit the souls of my youths growing up in the city during the 70's. I know, because that's what it did for me and my friends.""",1,
93,haha they're hilarious together! thank you for subbing =),1,
94,Hey I just got the same heli! Can you help me? I broke a part on it and need to find a place where to buy spare parts but can't find any online :(,1,
95,nice vid,1,
96,he's so sweet! i <3 himmmm!,1,
97,You looked very nice.,1,
98,One of my favorite's by Joanna. She's simply an amazing Musician.,1,
99,She's so beautiful!,1,
100,"""Dude, Its a video, but Im kinda thinking that is a poplar, not a red oak...""",0,
101,"""What the hell is that thumb print on the screen thing? Must get one of these, lol! ZX has never been bettered or more up to date than this piece of globalist piece of scanning equipment. Stick to the speccy and dump these mobile phones.""",1,
102,The joys of alcohol!,1,
103,"""Yeah, I especially got that vibe with the interconnected Dwarven origins.But Jowan is an idiot, *especially* after you get to know him in the Mage origin.NOOO, we spawned from the base.... BWAHAHAHAHA!""",-1,
104,simply incredible.,0,
105,@BritishWarLord >.> ur a fag,0,
106,why is the next one your last one,0,
107,compliment: you have beautiful eyes!! and pretty long lashes too! :),1,
108,Nice job! :),1,
109,"""ITS CALLED TECHNO! The words make this song important, """"The whole wide world is a very narrow bridge, but the important thing is not to worry.""""""",-1,
110,The guy in the crowd at 1:07 reminds me of David Archuleta...?,0,
111,fucking cunts.,-1,
112,Will is so talented! He is also my cousin lol,1,
113,"""Only when we remember our """"inalienable rights"""" were granted to us by God and not man will we be immune from the brainwashing this documentary uncovered. Those """"crazy"""" psychiatrists proved that the inmates are often running the asylum. The Bible could not be more accurate in describing the human heart as """"wicked & deceitful"""". We are selfish, play """"mind games"""" and try to dominate each other in our families & also internationally. Our only hope resides in our humility and love of God.""",-1,
114,Tommo is a cockflap. There's shit-all chance of 6 Music being cancelled.,-1,
115,"""NPNS - No Plug, No Sale!""",0,
116,I watched this show as a kid.I had a huge crush on Dana Plato.....too bad she got hooked on drugs and died. :(,-1,
117,"""It's all that damn clown's fault,!!!!TWO FUCKING DOLLARS MAN!!!!""",-1,
118,kwl,0,
119,"""@robokill387 That's not what he's trying to get across. Wolves don't make their teeth. He's saying if we were in the wild, With just ourselves, Just like the animal kingdom is, We would be extremely low on the food chain.""",-1,
120,"""@ianxofour yeh and it was easy, like always :D""",1,
121,a+++ jolly good show,1,
122,@itsDezz101 so do i. :o,0,
123,@0rima1 Thanks for commenting and watching!,1,
124,this video is really cool,1,
125,@cmayberry86 Jesus also said not to judge,0,
126,@abel2fresh4u actually your wrong the tmobile g2 for the us has stock android no sense,-1,
127,Lol... Onion is great...,1,
128,Mhmm... The scene where Danny pushes Lindsay down keeps bothering me... It looks as if it wasn't lindsay... Her hair is black and long...xDAnnoying... I should sleep more...;),-1,
129,where is the clap!!! that is my favorite part!!!!besides the build at 4:27. the release at 4:45 gives me goosebumps....,1,
130,Thats not Texas for you Thats 100% Shamrock right there..... I lived in that town for 3 years and it was a hell hole,-1,
131,"""yes i did answer this question a long time ago, but thanks for telling me anyway, i was planning to go from Amman to L.A direct then take another airline to S.F! so i travel with R.J I'll just go to JFK then take a plane from Delta or AA and go to S.F,, P.S Royal Jordanian is a good airliner""",1,
132,These ads are becoming parodies of themselves now.,0,
133,"""needs the money, naa he's loaded man""",0,
134,"""thanks for posting all of these Bernstein Mahler 3 movements. This is not only beautiful music interpretation, but also extremely fine filming. What a find for me here. Thank you.""",1,
135,"""you can get this on anime-online.c()m for ?1 if you want, its good.""",1,
136,"""i agree, the last minute and a half is musical perfection. I listen to all genres and I've never heard anything as beautiful as it sounds. It's what I imagine being played in heaven. no joke. It really shows their evolution as a band.""",1,
137,Ohh my bad xD,0,
138,where are other episodes.,0,
139,"""Hearns all the way. I love Sweetpea, but Hearns was not only a big hitter, he could outbox the hell outta guys as proven by the fact that his only loss by decision was at the age of 35. Hearn's may not of had the best chin but the guys who KO'ed him were big punchers, something Pernell was not IMO.Hearns by UD.""",-1,
140,"""I Love you man. Keep up the great work. '?Let your food be your medicine, and your medicine be your food ?"""" - Hippocrates...OG gangster.PS: Read Eat,Pray, Love""",1,
141,U r a weird spaz,-1,
142,tht was a great movie i am excited to meat emily and katharine thunmbs up the werewolf rlly surprised me i had no clue it was a werewolf movie i thought it would be kind of like carrie bc theyw where so outcasted it makes sense jst think about it,1,
143,Okay - I guess your referring to Other video 0-140mph Class 395,0,
144,datwaz rubbish never seen something so rubbish balddyyy,-1,
145,i'm studying mental health nursing and we are made well aware of the fact that most people who have a mental health problem become fully well. what you say is not borne out in the literature...,-1,
146,"""Child, you are such a talent. Love your work and your soulful vibe.Kathryn Keats""",1,
147,thank you very much!,1,
148,"""spiders freak me the fuck out, but i only tolerate them for you guys! this is amazing.""",-1,
149,How come there are only guys? Strange...something is being hinted here...,0,
150,gonna take you for a ride!,0,
151,I don't have Fibromyalgia but I I do suffer from depression and insomnia. For my depression I take the generic of Prozac which is Fluoxetin. I take 50mg of that. For my insomnia I take the generic of Ambien which is Zolpidem (10-30mg). Usually I'm asleep within 30 minutes of taking the Zolpidem. It is extremely helpful. I hope I was able to help you in any way.,-1,
152,For starters it WAS NOT HITLER'S EMBLEM. It was originally the Buddhist Symbol for good luck. That probably explains why Hitler stole it.,1,
153,I love synthesizers! this song is so uplifting and beautiful = ),1,
154,that switch back tail vince did near the end was fucken sick!!!!!!!!hopefully he gets turned pro after the chocolate vid drops,-1,
155,That was masterfully done by Kurt Angle! That's why he is one of the best in the wrestling business today! Stone Cold thought he had angle beat and so did Booker T but out of nowhere and within a blink of an eye he turned the tables on them and became the WCW Champion! Well done Kurt Angle!,1,
156,OMG ONLY 47 VIEWS!,1,
157,he is a perfect presentation full package,1,
158,wow i always thought VBIED stood for Very Big IED... lol although i guess it is rathr large...,1,
159,I'd do his drummer,0,
160,ba ba booyah! go SPOUSE!,0,
161,Are you kidding!! He made fast ppl look slow. I mean he out ran Darrell green in one game. Who is considered by many ppl the fastest player ever.,0,
162,"""One of the greatest displays of the human spirit in the history of mankind. The world will now look to Chile for inspiration. They did the impossible, all the trapped miners and rescue workers showed the world what unity is all about.""",1,
163,she had a nice butt 30 years ago-?,1,
164,I have the NS7 and all I can say is can't numark just back up one product make that the flagship product and market the hell out of it. Why does numark always do the same thing over and over again? The v7 looks cool but honestly it's just a way to sucker us out of more money.,-1,
165,"""I've already done so, several times in fact, and all you do is keep citing the same discredited studies, links, and 'authorities'. And you've now expanded your bloviating to include 'every science academy on the planet'...Superlatives such as THAT are concessions on your part...as everyone can see.""",-1,
166,"""Usual leftie, foaming at the mouth crap. National Union of Teachers - in other words commies who hate their own race. Thank God for the BNP. Come on Nick, let's get you into Westminster and really sicken them.""",-1,
167,"""This movie is better than what critics have said. The ending is far fetch, but thats hollywood baby.""",1,
168,intro \m/,0,
169,AHH im the first to comment aswell!love it roddie,1,
170,"""Maybe for PtoP, but for multipoint and interop their Codian MCU has to transcode everything! It takes ALOT more than 30ms to transcode 720p, try 300ms.""",0,
171,hey i seen that tractor just last week =) i got a gold key tour there. wach our 9430 be built,1,
172,"""toi muon tim lai cac anh qua su lien he cua anh toi Co trung uy nguyen ngoc Rang 81 bcd chuyen sang Loi-Ho , don vi nhay toan cuoi cung KonTum""",0,
173,i havent watched this show in like months and im glad that they stopped flagging videos,1,
174,...but an Ideal Standard (1980s batch) handle :-),1,
175,"""After watching so many tutorials, i still cant land the plane using ILS. i'm missing few basic things out but dont no exactly what.""",0,
176,Any stock pics this week?,0,
177,"""@BudPeters44 Are YOU fucking stupid? You SERIOUSLY believe in a worldwide flood? Like, 2 by 2 the millions of different species of animals skipped onto an ark? Didn't kill eachother, had enough food for their specialized diets for 40 days and were appropr""",-1,
178,That's amazing! Now babies and young children can swim by themselves.,1,
179,"""Even though I didn't know it at the time, living in Silver Lake in my early 20s was one of the best experiences of my life. I was going through some hard times back then, and if I hadn't been in such a tolerant, laid back community, my troubles would have metastasized. I will be forever grateful to the community of Silver Lake for giving me the space I needed to become the productive member of society I am today.""",-1,
180,"""I keep coming back to your performance of this magnificent piece, surely one of the noblest in the organ repertoire. It combines youthful exuberance with a remarkably mature msical insight. A fine organ, too - but I would love to hear you repeat this on a real Cavaill?-Coll - St Sulpice or St Ouen, for example.""",1,
181,ya sure you do!??,0,
182,bra sleepy will neva die uhhhhhhhhhhhhhh!!!!!!!!,0,
183,@thecomicbots Nice!!!,1,
184,A Tribe is the effen best,1,
185,hes voice sounds so different geez not like the other vestion of game of death the lost fotage,-1,
186,yea I hope she's alright,1,
187,"""She is absolutely awesome for a 3 year old. It is amazing that she was able to memorize that whole routine at her age. However, I must agree with a lot of the posts. Her poor neck and spine take a lot of impact when she lands on her head like that. I bet a doctor would cringe if? they saw her do that over and over again. Hopefully she won't have any neck or back pain later in life from this. That being said, you are awesome little lady!!!""",-1,
188,Wow the blonde girl is super yummy,1,
189,those things are stupid. whats the point in having a BB30 frame if you convert it back to standard.its better to use BB30 bearings and then convert the Inner Diameter of the bearings down to shimano standard with Wheels Manufacturing adaptors.,-1,
190,holy crap o meter LOLOLOLOL,-1,
191,does that mean he sleep with the queen ?,0,
192,I know some of the people in this video! LOL,1,
193,bj is gonna walk right through this guy,0,
194,@PlasmaSilver11 It sure is.,0,
195,i love this song!!! This video is great!,1,
196,Genn is made of magic,0,
197,No problem! :],-1,
198,so good! wonder what nick is going to say?,1,
199,"""USAGymnast""""Scott Brown was definitely an eye candy in 1982.""""Old mares like you shouldn't be thinking nor talking about sex.""",1,
200,No way! I played against T Rey at SD Team Tourney years ago (98 ish). And Ahart? Love the shorts and moustache combo! Diggin these old skool vids!!,1,
201,what was up with the abandoned midgets at the end?,-1,
202,"""I use this with my 11.5. The recoil reduction is noticeable, but not so much as a good comp like the fsc556.TEST, TEST, TEST this with your duty ammo if you in LE!! It works with Hornady 75 grain TAP, and with the 75 grain practice ammo that I've tried. I've seen it used with 55 grain TAP and 55 grain practice ammo without any trouble, but we didn't use much 55 grain TAP.""",-1,
203,OMG SSSOOOO CUTE :) he looks like my baby yorkie when i got him :) hes a year old now my babi :P,1,
204,You talk to her we translate mworld5.info,0,
205,"""ayyy pero no me gusta por que no salen los de mas de los amigos..como mi micky,carlitos,justa,norma.. marina,marquitos, los papas de isa y los de mas...ellos completaban el show :( espero que recrezen al show""",-1,
206,"""you try cooking while giving a presentation, u dick""",0,
207,Who can watch this?,0,
208,panthers on the railway nice,1,
209,"""To me, the bailout was a necessary evil to prevent economic Armageddon. HOWEVER, the bailout should immediately have been followed with the kind of legislation being proposed here by Bernie, in that we force the Treasury to identify those banks that are dangerous to our country and to break them up -- Teddy Roosevelt-style. By taking the bailout, those banks showed that they don't deserve to stay intact.""",-1,
210,"""for earth day, i celebrated by . . going to my local deli, purchasing as many sandwiches as possible, throwing them all in the trash, then taking those styrofoam boxes and digging them deep in the earth in various ity parks. it was awesome. i felt good afterward because i knew i had done my part that day!! also took all the non-biodegradable trash from my garbage and strewn it around as many school gardens as i could find.it truly was a WONDERFUL earth day!! yay!!!!""",1,
211,Glad you enjoyed it and thanks so much for the kind words!,1,
212,Try warpin Rodney Mullen and his tech skate style,-1,
213,"""Love it! Is the kid Chris' son, maybe?""",0,
214,I love this show.,1,
215,"""Dude, this is really good. Indeed, the theme music raped my ears, but this was exactly the kind of thing that needs to get posted more often. Bravo.""",-1,
216,WONDERFUL,1,
217,"""Lol. I can't believe she said """" I am the only white person in the village!""""""",0,
218,"""OMG, I had no idea...I'm soooo loving this, Wes! I've been into Grass since I was 15 (preferring BG festivals to rock concerts) and loved The Birchmere back home.""",1,
219,Good Job.,1,
220,i didnt ask u to watch it or comment it so shut up it aint my fault u thought it was porno or something well srry 2 dissapoint ya perv,-1,
221,"""you're horrible lol, fucking clicker go die""",-1,
222,2:27 jojo! :D,1,
223,People just cant believe how great this team was and i mean TEAM.,1,
224,Bad audio :(,-1,
225,@5796 I really don't like Ten Chances because players waste the rest of their chances on the 2nd prize.,1,
226,Niceee,1,
227,OMG That Trey is so fucking sexy,1,
228,it should b 0000 if u havent changed it,0,
229,how did iran get the S-300!!! please!!,1,
230,great video,1,
231,give me the live cow right over the table ill carve off what i want and ride the rest home dum dadadumdadadum,-1,
232,R.I.P J-ROC,0,
233,Haha nojgxbjgegiyfhi,1,
234,HARDCORE,0,
235,"""Awesome! Thanks. I will drown trying!!! I hope to get it, hopefully tomorrow.""",-1,
236,i prefer kevins new hair style the old 1 looked like a broken mop.,-1,
237,"""yea this is all fine and dandy but it dosnt have any good games yet, so this dosnt even matter.""",1,
238,That made me laugh! Now where are those panties?,1,
239,"""sometimes i wish my hair was short and styled like that, im sure my alter-ego does her hair like that though :]""",1,
240,"""Kim K. recommending Kim S. was sufficient enough for me to get interested. I have been using a modified Snider Investment Method for the last 3 years very successfully. I am very impressed with her both as a system builder, and a financial advisor. Thanks goes to both Kims.Glen""",1,
241,Like you wouldn't believe. That man makes me want to buy out a BB&B store.,1,
242,um......,0,
243,he is awesome and i now enjoy the cod 4 game play wayyy more now....,1,
244,"""Hey that is really cool. Great background music.I also learned that I need set the camera down instead of holding it. Thanks for teaching this old dog some net tricks.Regards,Gary""""Eronstuc""""""",1,
245,"""@Guaranch pufffffff ... blah blah blah.. girl is your dad,jerk!""",-1,
246,AWESUUUMMM!!! first comment! ,0,
247,fml,0,
248,It's raining asbestos on them,0,
249,haha the thing on his helmet,1,
250,@celest143 me too :) will watch a few mins :D,1,
251,"""oho, nice ;-)""",1,
252,The Library (Michel).,0,
253,cool,1,
254,This is a cool video.,1,
255,"""@sethisawesome Playstation and Philips were both paid by Nintendo to make the CD addon. When Nintendo decided """"CDs are not the future of gaming"""" (Yeah, nintendo. Ahead of their time, though always leaving their foresight at home) they dumped both and thus""",-1,
256,I love watching your videos. No BS plus you have a very nice speaking voice...have you tried out for the Food Channel? Thanks...,1,
257,wow was that a tv in there??? weird!,-1,
258,first,0,
259,Cool David~,1,
260,"""@777Shekel777 , I dont believe in bible codes. I am certain the heavenly father would have said"""" I leave you with my living word for your benefit and as a blessing to those who listen to these words... ... but oyu will need a doctorate in history and math""",1,
261,Some great info! I'm very excited to see more talks from this year get posted!,1,
262,how old do they cast the role?,0,
263,inspiring,1,
264,Jesus is the only way to God there is no other ,0,
265,awesome!,1,
266,ya know lukes friends at the battle of hoth that flew around with him who he was talking to over the walky talkys in the fighters it was them watch it again and youll see it was episodes 4 and 5,-1,
267,"""NEW , LOL""",1,
268,I WAS THERE I MET THE AFTER THE CONCERT!!!! hehe THEY'RE AMAZING!!!,1,
269,@HappyWithLife33 no. go dl Fear. way b4 psych and way better I'm sure : ),0,
270,"""That last """"Tun tun tun tun tun tun!"""" Cracks me up xD""",0,
271,"""I think we all know that the trumpet player was excellent but man on man, the orchestra backing him up was superb. Very musical and followed all the dynamics....true professionals.""",1,
272,artistic... talented man,1,
273,"""of course that's fake, they have tons of interviews together where they absolutely love each other. Even extras on the dvd where they're all goofing around""",1,
274,lol,1,
275,"""4:15, pretty cool moment.""",1,
276,"""i just love this song , very goog song :D""",1,
277,so wonderful job!,1,
278,"""My favorite part was the ending with Jack saying """"Did you miss me?"""" Nice!""",-1,
279,sacredclan/oakclan/iceclan/forestclan/emberclan/ anyother clans ( CLAN VIDEO),0,
280,A knob wow How old are u kid like 12 what would your mom say if she knew u were using that kinda language .go get a life,1,
281,I din eat the cookie god... I din eat the cookie!!!,-1,
282,Beautiful!,1,
283,yeah they would be able to engage,0,
284,raven needs 2 c'm back eric young sucks i wanna c him leave tna g2 shitty wwe,-1,
285,oh and also how much room is on the delta hang ledge,-1,
286,Great style. Really smooth and clean.,1,
287,OMG. That's so horrible. ,-1,
288,its a CHICKEN!!! and yep. 50 bucks. :),1,
289,:D yugioh references lol,1,
290,The Republican Party is DEAD!!! LMAO,-1,
291,awesome,1,
292,with all due respect ithink you need to catagories the contents to make it more fluid in use. just a thought. i dig the bag though,1,
293,As did I,0,
294,Make that 4 people. I hated that guy! We were glad to get rid of him,-1,
295,i can do that shit...lol :p,1,
296,"""I am unsure of the grammar here. What would kill himself? How much he states humans?Calm down, re-read and then post. It will be okay. Though I do think he has any allegiance save to knowledge.""",1,
297,"""@ParkourAmour Actually, it is easier for me to do on bar because my hands DON'T move around freely. On rings, it takes extra effort to maintain your false grip. By the way, I am the guy in the video and on bar I have done this same workout in 20 seconds l""",0,
298,Does anyone know the best winter lure,-1,
299,Sick Video!!! 2010 World Cup At Windham Mountain!!,-1,
300,"""@Drewstorm, not quite correct. Old School was ahead overall in SUB-TOTAL of BOTH the Quarter-Finals AND the Semi-Finals until the Finals, but Storm Front outscored them in both the Semis and the Finals. It's just that the amount by which Storm Front outsc""",0,
301,"""My favourite ballet. The second act is the best bit, (if there is one!) Thanks for sharing.""",1,
302,"""Tylko po co? wasze ego, chcecie byc wyjatkowi? Otwieracie sie na sily demoniczne, kt?re wykorzystaly sataniste Monroe aby opracowac metode, zwiesc ludzi i odwr?cic od Boga w tym uzalezniajacym procesie z kt?rego ciezko sie wyrwac, a slad na psychice, grzech i duszy pozostaje. Demon juz zawsze bedzie dzialal w waszym zyciu czy tego chcecie czy nie niszczac wasza psychike i zycie. Niekt?rzy przypisza to smiercia i pieklem! Wiecej o zagrozeniach cykl dokumentalny """"Jarmark cud?w"""".Nic nie zyskujecie!""",-1,
303,"""Fairytales can't be changed? Oh, that's not true. We've been changing them since forever!""",0,
304,"""When Carlos was on LSD playing his guitar, he actualy thought that the neck of his guitar was turning into a snake, so he had to fight that fear and play amazingly at the same time, fucking amazing :D""",1,
305,that was great fun rick. you are are a fun host too - cracked me up. also great questions and all that. !!!,1,
306,@TerenB1 I also saw it!,0,
307,You are most definitely an open channel! Your videos just keep getting better and better. Your sense of color and balance is amazing.,1,
308,Robin Hood is my favourite one!:-) HAHAHA,1,
309,"""dara is not only cute or sexy 2ne1 is not the same like others group they are the best because they are not just cute ,pretty ,sexy unlike the other using that effect but 2ne1 they have everything sexy ,cute, pretty ,hot ,cool and talented !!! go go go dara park and 2ne1""",1,
310,"""Just live your life! Whatever you are, make your small happy life""",1,
311,Hey Nutnfancy What Blade are you using at 18:00-18:03?,1,
312,There is a song here that every country music fan can relate too sometime in their life! Thank you for your great uploads!!!!!,1,
313,he a sniper just like me,0,
314,Thanks for helping me against that heavy.0:49,-1,
315,How can u not like Shaggy and Shabba???? LMAO!,1,
316,I SoCed the guards. Only Cauthrien survived:),1,
317,"""She has an Aretha sound, she can definitely get some work as Aretha's background singer or even do demos for Aretha, she's interesting, I wonder if she lives what she sings, these poor women who these men take it through.""",-1,
318,"""i burned the disc and stuff just like you said. only problem is that when it says """" Click the button below to restart your computer and begin the installation process. """" i click restart and it just restarts. that's all. no installing occurs. could you help me out with this? thanks and great simple video instructions. i'll rate it 5 stars once i get this working.""",1,
319,Great video!!!,1,
320,Hello? (it's the brain),0,
321,"""Illuminati? Ha, Ha. I read the book. Excellent. The movie, not so much. She's such an idiot and a fake!""",-1,
322,@blue861000 I agree. Bullies & haters are wrong in every sense of the word.,-1,
323,"""Most convicted killers that have been cleared and freed didn't have as much evidence to exonerate them as there is for ALA. If ALA cannot be cleared on the prints, DNA and handwriting, nobody could ever be cleared of a crime. To accept ALA's guilt is to deny solid physical evidence in favor of witch hunting, sophistry, invented factoids and wild speculation. Some think that's stronger evidence than prints, DNA and handwriting. If that evidence is so weak, then nobody could ever be convicted.""",-1,
324,"""Will be trying this tonight. I might bake them instead of frying. I just feel that potatoes especially mashed will soak up every bit of the oil. Frying is always yummier, but since I'm pregnant, everything fried gives me indigestion...""",0,
325,@ccdcassi I hope so too. It's still a great city and will always be. Thank you for your support,1,
326,yh ur rite soul touching and very sad...,-1,
327,his hat is fuking sik 5:10,0,
328,These are the days these are the moments that pass us by,0,
329,"""Apples taste good but Oranges taste good also. I just summed up your stance on any two opposing issues, do you work in congress? Allow me to stereotype you: Spineless, unprincipled, panderer. Any one will work.""",1,
330,dizaster sucks,-1,
331,ok so shep's ship is totally a guitar. it even has a whammy bar!,0,
332,"""Sex, drugs, rock-n-roll !!!""",1,
333,im a dance minister and when there is song of warfare on sometimes it just be like that. you got to minister to your self and stomp satan all the same time . amennn,-1,
334,vanguard of justice my ass more like the vangurd of low down cheating mother fuckers,-1,
335,When was this video made? I didn't see it in the credits,0,
336,you couldn't be a Libertarian and believe the way you believe,0,
337,this is my new favorite super furry animals song,1,
338,totally agree with you. liked them for a couple years now.,1,
339,dude just go to the apple store snow lepord is there!,0,
340,yeah its totally worth it,0,
341,So Dope...!!!,0,
342,Charmed LOL,1,
343,"""Ok,You PA boys can stop showing off now. We know y'all have all the power we drool over in the rare times it gets south of you.""",0,
344,"""i was a little kid when i heard this song in my moms cd's. i dont remember how old i was but i remember i didint understand the words to well, but i fell in love. i fell in love with the music and the words my small brain could pick up. great era of music.""",1,
345,? this swucks,0,
346,you got a camera mark!!!!!!!,0,
347,what is a pyro fx,0,
348,"""Great video Steve! I remember the first time I read John Muir's description of the ice cone, I was amazed by it. To see it through your eyes is pretty cool. Love the time lapse of the creek too.""",1,
